id,chain,offer,market,repeater,offerdate,category,quantity,company,offervalue,brand,sum_category_quantity,sum_category_amount
86246,205,1208251,34,t,2013-04-24,2202,1,104460040,2,3718,0,0
86252,205,1197502,34,t,2013-03-27,3203,1,106414464,0.75,13474,6,14.55
12682470,18,1197502,11,f,2013-03-28,3203,1,106414464,0.75,13474,1,2.5
12996040,15,1197502,9,f,2013-03-25,3203,1,106414464,0.75,13474,0,0
13089312,15,1204821,9,f,2013-04-01,5619,1,107717272,1.5,102504,0,0
13179265,14,1197502,8,f,2013-03-29,3203,1,106414464,0.75,13474,0,0
13251776,15,1200581,9,f,2013-03-30,1726,1,104460040,1.25,7668,18,45.63
13540129,14,1200581,8,f,2013-03-30,1726,1,104460040,1.25,7668,4,13.96
13807224,4,1204576,1,f,2013-04-05,5616,1,104610040,1,15889,23,53.84
13873775,4,1197502,1,f,2013-03-26,3203,1,106414464,0.75,13474,0,0
13974451,4,1197502,1,f,2013-03-26,3203,1,106414464,0.75,13474,0,0
